Month,Total Units,Added,Leases Expiring,Renewals Signed,Transitioned to M2M,Moveouts,M2M Moveouts,Monthly Moveout Rate
Jan 2022,119,0,1,0,1,0,1,0.8%
Feb 2022,119,0,7,0,3,0,5,4.2%
Mar 2022,151,32,1,0,9,1,3,2.6%
Apr 2022,151,0,3,0,5,0,2,1.3%
May 2022,210,59,8,0,2,0,3,1.4%
Jun 2022,210,0,2,0,7,3,3,2.9%
Jul 2022,254,44,4,0,3,2,6,3.1%
Aug 2022,267,13,3,0,9,0,6,2.2%
Sep 2022,267,0,10,0,37,3,4,2.6%
Oct 2022,288,21,7,0,6,4,7,3.8%
Nov 2022,302,14,2,0,3,0,1,0.3%
Dec 2022,302,0,6,0,2,0,5,1.7%
Jan 2023,302,0,4,0,8,2,9,3.6%
Feb 2023,302,0,8,0,2,2,4,2.0%
Mar 2023,302,0,9,0,5,2,9,3.6%
Apr 2023,320,18,6,0,4,6,8,4.4%
May 2023,334,14,49,0,3,5,9,4.2%
Jun 2023,334,0,8,0,3,8,11,5.7%
Jul 2023,342,8,23,0,5,4,5,2.6%
Aug 2023,342,0,10,0,1,4,7,3.2%
Sep 2023,342,0,8,0,4,7,6,3.8%
Oct 2023,342,0,3,0,1,4,8,3.5%
Nov 2023,342,0,4,0,4,5,6,3.2%
Dec 2023,342,0,2,0,1,3,3,1.8%
Jan 2024,342,0,4,0,0,5,3,2.3%
Feb 2024,342,0,2,0,1,15,1,4.7%
Mar 2024,342,0,10,0,2,7,6,3.8%
Apr 2024,342,0,61,6,3,16,6,6.4%
May 2024,342,0,41,17,1,7,8,4.4%
Jun 2024,438,96,41,29,5,14,12,5.9%
Jul 2024,474,36,22,37,6,3,1,0.8%
Aug 2024,474,0,29,26,8,10,6,3.4%
Sep 2024,474,0,16,13,6,9,4,2.7%
Oct 2024,519,45,8,21,3,5,7,2.3%
Nov 2024,568,49,10,10,0,8,7,2.6%
Dec 2024,569,1,5,8,1,12,4,2.8%
Jan 2025,597,28,3,5,1,9,1,1.7%
Feb 2025,613,16,15,5,2,10,5,2.4%
Mar 2025,647,34,32,9,2,22,8,4.6%
Apr 2025,892,245,47,23,2,13,6,2.1%
May 2025,892,0,72,32,2,24,6,3.4%
Jun 2025,892,0,70,37,2,17,7,2.7%
Jul 2025,904,12,82,29,2,17,4,2.3%
Aug 2025,904,0,76,23,2,23,15,4.2%
Sep 2025,904,0,88,25,4,20,7,3.0%
Oct 2025,956,52,20,91,4,9,9,1.9%
Nov 2025,956,0,10,29,1,8,8,1.7%
Dec 2025,956,0,8,22,1,7,5,1.3%
Jan 2026,956,0,3,32,1,9,1,1.0%
Feb 2026,956,0,7,34,1,3,4,0.7%
Mar 2026,956,0,59,13,0,14,0,1.5%
Apr 2026,956,0,64,32,2,6,0,0.6%
May 2026,956,0,91,14,2,1,0,0.1%
Jun 2026,956,0,119,5,1,0,0,0.0%
